Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Burundi,BDI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,79.7,Sub-Saharan Africa,Low income
Burundi,BDI,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,91.9561855,Sub-Saharan Africa,Low income
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,8.043814498,Sub-Saharan Africa,Low income
Burundi,BDI,Urban population growth (annual %),SP.URB.GROW,2000,4.427247577,Sub-Saharan Africa,Low income
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,2000,112.4856079,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,70.86701,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,46.06678508,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,53.93321492,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,Urban population growth (annual %),SP.URB.GROW,2000,3.123267711,Sub-Saharan Africa,Upper middle income
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,2000,70.60013596,East Asia & Pacific,Lower middle income
Cambodia,KHM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,9.217397124,East Asia & Pacific,Lower middle income
Cambodia,KHM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,84.8,East Asia & Pacific,Lower middle income
Cambodia,KHM,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,81.37577833,East Asia & Pacific,Lower middle income
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,18.62422167,East Asia & Pacific,Lower middle income
Cambodia,KHM,Urban population growth (annual %),SP.URB.GROW,2000,2.198956304,East Asia & Pacific,Lower middle income
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,2000,31.54710287,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,19.05304302,Sub-Saharan Africa,Lower middle income
