Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Lower middle income,LMC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,13.54054622,,
Lower middle income,LMC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
Lower middle income,LMC,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,67.97857707,,
Lower middle income,LMC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,32.02142293,,
Lower middle income,LMC,Urban population growth (annual %),SP.URB.GROW,2000,3.097627162,,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Population density (people per sq. km of land area),EN.POP.DNST,2000,39.12058136,,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,21.09331683,,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,51.0340937,,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,51.30057798,,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,48.69942202,,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Urban population growth (annual %),SP.URB.GROW,2000,2.968566338,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Population density (people per sq. km of land area),EN.POP.DNST,2000,45.98969132,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,18.98462225,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,52.92745314,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,53.68521166,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,46.31478834,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Urban population growth (annual %),SP.URB.GROW,2000,2.82825251,,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Population density (people per sq. km of land area),EN.POP.DNST,2000,45.72676644,,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,18.98462225,,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,52.92745314,,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,53.84879745,,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,46.15120255,,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Urban population growth (annual %),SP.URB.GROW,2000,2.81107001,,
Middle income,MIC,Population density (people per sq. km of land area),EN.POP.DNST,2000,71.56018798,,
Middle income,MIC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,17.24626274,,
Middle income,MIC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
Middle income,MIC,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,59.56569808,,
Middle income,MIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,40.43430192,,
Middle income,MIC,Urban population growth (annual %),SP.URB.GROW,2000,3.39683408,,
North America,NAC,Population density (people per sq. km of land area),EN.POP.DNST,2000,17.2615411,,
North America,NAC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,43.62024385,,
North America,NAC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0.204831693,,
North America,NAC,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,20.96541274,,
North America,NAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,79.03458726,,
North America,NAC,Urban population growth (annual %),SP.URB.GROW,2000,1.417112723,,
Not classified,INX,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
Not classified,INX,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
OECD members,OED,Population density (people per sq. km of land area),EN.POP.DNST,2000,33.8635487,,
OECD members,OED,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,34.64382727,,
